Chemical Name,Chemical ID
Triacsin-c,CID00233
Sid-26681509,CID00234
Ro-28-1675,CID00235
Parbendazole,CID00236
Pp-30,CID00237
Pj-34,CID00238
Pf-750,CID00240
Narciclasine,CID00241
Mst-312,CID00242
Methylene-blue,CID00243
L-690488,CID00244
Ku-0063794,CID00245
Ku-0060648,CID00246
Dalcetrapib,CID00247
Ingenol,CID00248
Isox,CID00250
Evodiamine,CID00252
Dl-pdmp,CID00253
Cytosporone-b,CID00254
Dl-tboa,CID00256
Cay-10618,CID00257
Bms-754807,CID00259
Ag-14361,CID00262
Abt-751,CID00263
7b-cis,CID00265
Fatostatin,CID00266
Ac-55649,CID00267
Ko-143,CID00268
Cd-437,CID00269
Phloretin,CID00270
Xav-939,CID00271
Bax-channel-blocker,CID00272
Bvt-948,CID00273
Metanephrine,CID00274
Liquiritigenin,CID00275
"Hydroxytacrine-maleate-(r,s)",CID00276
Dihydro-7-desacetyldeoxygedunin,CID00279
Cs-1657,CID00280
Calyculin,CID00281
Zamifenacin,CID00282
Zacopride,CID00283
Zm-39923,CID00284
Way-629,CID00286
Way-161503,CID00287
Vama-37,CID00288
Trequinsin,CID00289
Tiaprofenic-acid,CID00290
Tianeptine,CID00291
Tcs-359,CID00292
Tas-301,CID00293
Src-kinase-inhibitor-i,CID00294
Splitomycin,CID00295
Spiroxatrine,CID00296
Sq-29548,CID00298
Skf-83566,CID00299
Sd-169,CID00300
Sc-19220,CID00301
Sb-258585,CID00302
Sb-206553,CID00303
Sb-203186,CID00304
S-14506,CID00305
Ro-90-7501,CID00306
Ro-25-6981,CID00307
Retrorsine,CID00308
Resmethrin,CID00309
Rx-821002,CID00311
Ru-28318,CID00312
Rs-79948,CID00313
Rs-102895,CID00314
Benzyl-quinazolin-4-yl-amine,CID00315
Ephedrine-(racemic),CID00316
R-59022,CID00317
Purvalanol-b,CID00318
Purvalanol-a,CID00319
Protopine,CID00320
Pirlindole,CID00321
Pepstatin,CID00322
Paxilline,CID00323
Psb-36,CID00324
Psb-1115,CID00325
Piceid,CID00326
Phenamil,CID00327
Phccc,CID00328
Pd-158780,CID00329
Oxprenolol,CID00330
Oleylethanolamide,CID00331
Oxotremorine-sesquifumarate,CID00332
Naringin,CID00333
N-methylquipazine,CID00334
Ml-9,CID00335
Mk-212,CID00336
Mdl-11939,CID00337
Mbcq,CID00338
Ly-344864,CID00339
Lobaric-acid,CID00340
Linoleic-acid,CID00341
Leu-enkephalin,CID00342
L-stepholidine,CID00343
L-741742,CID00344
L-655708,CID00345
L-168049,CID00346
Ki-8751,CID00348
Ipsapirone,CID00350
Ici-118551,CID00351
Ici-204448,CID00352
Helveticoside,CID00354
Hydrocortisone-acetate,CID00355
Htmt,CID00356
Hexylresorcinol,CID00357
Glycodeoxycholic-acid,CID00358
Gelsemine,CID00359
Gr-103691,CID00361
5'-guanidinonaltrindole,CID00362
Fluocinolone,CID00363
Fgin-1-43,CID00365
Fgin-1-27,CID00366
Etilefrine,CID00368
Eticlopride,CID00369
Eliprodil,CID00370
Ethoprop,CID00371
Dipivefrine,CID00372
Diphemanil,CID00373
Digitoxigenin,CID00374
Dpo-1,CID00375
Dihydrodeoxygedunin,CID00376
Dihomo-gamma-linolenic-acid,CID00377
Co-101244,CID00380
Clebopride,CID00381
Cimaterol,CID00382
Cyanopindolol,CID00384
Cv-1808,CID00385
Cmpd-1,CID00386
Citco,CID00387
Cgs-15943,CID00388
Cgp-54626,CID00389
Ca-074-me,CID00390
Brl-52537,CID00391
Bntx,CID00392
Bmy-45778,CID00393
Bms-182874,CID00394
Bibu-1361,CID00395
Anpirtoline,CID00396
Alfaxalone,CID00397
Ala-ala-phe-cmk,CID00398
Atpa,CID00399
Arc-239,CID00400
Am-281,CID00401
Ag-99,CID00402
Tyrphostin-ag-527,CID00403
Flavanone,CID00405
Bisindolylmaleimide-ix,CID00406
Dorsomorphin,CID00407
Protein-tyrosine-phosphatase-inhibitor-iv,CID00408
Proscillaridin,CID00409
"Methyl-2,5-dihydroxycinnamate",CID00410
Ym-90709,CID00411
Xe-991,CID00412
Salsolinol,CID00414
Spiperone,CID00415
Skf-96365,CID00416
Sib-1893,CID00417
Sb-218078,CID00418
Sb-216641,CID00419
Ru-24969,CID00421
Rs-39604,CID00422
Ro-04-6790,CID00423
Rhamnetin,CID00424
R(-)-propylnorapomorphine,CID00425
Practolol,CID00426
Pifithrin-mu,CID00427
Psb-069,CID00428
Proadifen,CID00429
Prednisolone-hemisuccinate,CID00430
Prednisolone-acetate,CID00431
Pirenperone,CID00432
Pipamperone,CID00433
Nsc-663284,CID00434
Ns-1619,CID00435
Nbqx,CID00436
Mrs-1334,CID00438
Mebeverine,CID00439
L-701324,CID00440
L-755507,CID00441
L-161982,CID00442
Indirubin-3-monoxime,CID00443
Immethridine,CID00444
Icilin,CID00445
Isoxicam,CID00446
Inca-6,CID00447
Icariin,CID00448
Gw-7647,CID00449
Gw-4064,CID00450
Gw-3965,CID00451
Gw-1929,CID00452
Gr-113808,CID00453
Gitoxigenin,CID00454
Fenbufen,CID00455
Ergocryptine,CID00456
Erythrosine,CID00458
Erythromycin-estolate,CID00459
Epicatechin-gallate-(-),CID00460
Emd-386088,CID00461
E-4031,CID00462
Dephostatin,CID00463
Doxylamine,CID00464
Gedunin,CID00465
Dcpib,CID00466
Cortisone-acetate,CID00467
Chlormadinone-acetate,CID00468
Candesartan-cilextil,CID00469
Brompheniramine,CID00470
Betamethasone-acetate,CID00471
Badge,CID00472
Arcyriaflavin-a,CID00474
Azaperone,CID00475
Asiatic-acid,CID00476
Aminopentamide,CID00477
Spiramide,CID00478
Amg-9810,CID00479
Alclometasone,CID00480
Ag-957,CID00481
Tyrphostin-ag-82,CID00482
Bisbenzimide,CID00483
Prunetin,CID00484
Tyrphostin-ag-835,CID00486
Phosphodiesterase-v-inhibitor-ii,CID00487
Phenanthridone,CID00488
Nitrocaramiphen,CID00489
Vesamicol,CID00490
H-8,CID00491
Arecaidine-but-2-ynyl-ester,CID00493
Methyl-angolensate,CID00494
"Androsta-1,4-dien-3,17-dione",CID00495
Bufalin,CID00496
Bongkrek-acid,CID00497
Zolantidine,CID00498
Zm-323881,CID00499
Xylazine,CID00500
Pirinixic-acid,CID00501
Way-170523,CID00502
Trap-101,CID00503
Tiotidine,CID00504
Tripelennamine,CID00505
Tcb2,CID00508
Tc-2559,CID00509
Securinine,CID00510
Salmeterol,CID00511
Su-1498,CID00512
Ssr-69071,CID00513
Sr-95639a,CID00514
Sr-59230a,CID00515
Sdz-wag-994,CID00517
Sch-442416,CID00518
Ikk-2-inhibitor,CID00519
Sc-560,CID00520
Sb-415286,CID00521
Sb-366791,CID00522
Sb-334867,CID00523
Sb-221284,CID00524
Sb-200646,CID00525
Ibuprofen-(s),CID00526
Remacemide,CID00527
Rwj-21757,CID00528
Rs-100329,CID00529
Rg-14620,CID00530
R-96544,CID00531
Proxyfan,CID00532
Pifithrin-alpha,CID00533
Pq-401,CID00535
Pnu-282987,CID00536
Pentylenetetrazol,CID00537
P-1075,CID00538
Oleanolic-acid,CID00539
Norcyclobenzaprine,CID00540
Nsc-95397,CID00541
Nsc-3852,CID00542
Noreleagnine,CID00543
Nnc-63-0532,CID00544
Nnc-55-0396,CID00545
Neca,CID00546
Nbi-27914,CID00547
Nas-181,CID00548
Malonoben,CID00549
Mt-21,CID00550
Mrs-1220,CID00551
Methylnorlichexanthone,CID00552
Methoprene-acid,CID00553
Loreclezole,CID00554
Quinelorane,CID00555
Ly-364947,CID00556
Ly-341495,CID00557
Ly-2183240,CID00558
Alpha-linolenic-acid,CID00559
Le-300,CID00560
Le-135,CID00561
L-803087,CID00562
L-692585,CID00563
Jwh-015,CID00565
Immepip,CID00566
Ici-199441,CID00567
Ibc-293,CID00568
Hinokitiol,CID00569
Harpagoside,CID00570
Quercetagetin,CID00572
Gw-6471,CID00573
Gw-405833,CID00574
Gr-46611,CID00576
Fananserin,CID00578
Fluprostenol,CID00580
Fluperlapine,CID00581
Eugenitol,CID00582
Ergocornine,CID00583
Ehna,CID00585
Dup-697,CID00586
Devazepide,CID00587
Denbufylline,CID00588
Bp-897,CID00589
Dipropyl-5ct,CID00590
Dicyclohexylurea,CID00591
Dh-97,CID00592
Deguelin,CID00593
Dau-5884,CID00594
Cinanserin,CID00597
Cpccoet,CID00598
Cl-82198,CID00599
Cgs-12066b,CID00600
Cgp-7930,CID00601
Cgp-71683,CID00602
Cgp-20712,CID00603
Carbacyclin,CID00606
Boldine,CID00607
Brl-37344,CID00608
Bmy-7378,CID00609
Bml-257,CID00610
Bay-59-3074,CID00611
Am-580,CID00614
Am-630,CID00615
Alverine,CID00616
Tyrphostin-ag-555,CID00617
Nsc-632839,CID00618
Fccp,CID00619
M-chlorophenylbiguanide,CID00620
"Tropanyl-3,5-dimethylbenzoate",CID00621
Iodophenpropit,CID00623
Ite,CID00624
Ditolylguanidine,CID00625
Doconexent,CID00626
Wiskostatin,CID00627
Coumestrol,CID00628
Zatebradine,CID00629
Zm-306416,CID00630
Zm-241385,CID00631
Z-prolyl-prolinal,CID00632
Yc-1,CID00633
W-7,CID00634
W-13,CID00635
Veratridine,CID00636
Ubp-302,CID00637
U-46619,CID00638
U-99194,CID00639
Telenzepine,CID00640
Tyrphostin-47,CID00641
Tangeritin,CID00642
T-0901317,CID00643
T-0156,CID00644
T-0070907,CID00645
Saclofen,CID00646
Su-4312,CID00647
Sto-609,CID00648
Sr-142948,CID00649
Sq-22536,CID00650
Skf-89976a,CID00651
Skatole,CID00652
Sib-1757,CID00653
Sdz-205-557,CID00654
Sch-23390,CID00655
Sc-68376,CID00656
Sc-10,CID00657
Sb-431542,CID00658
Sb-408124,CID00659
Sb-218795,CID00660
Ro-19-4605,CID00661
Ro-15-4513,CID00662
Ro-10-5824,CID00663
Rs-67506,CID00664
Rs-67333,CID00665
Rs-56812,CID00666
Rs-102221,CID00667
Rhc-80267,CID00668
Qx-314,CID00669
Procaterol,CID00670
Pp-2,CID00671
Pnu-22394,CID00672
Pd-198306,CID00673
Pd-160170,CID00674
Pd-102807,CID00675
Pco-400,CID00676
Nomegestrol-acetate,CID00677
Buphenine,CID00678
Nnc-711,CID00680
Ncs-382,CID00681
Nan-190,CID00682
Desmethylclozapine,CID00683
My-5445,CID00684
Ml-7,CID00685
Megestrol-acetate,CID00686
Mefenamic-acid,CID00687
Mdl-28170,CID00688
Mdl-72832,CID00689
Bemesetron,CID00690
Ly-288513,CID00691
Ly-225910,CID00692
Lfm-a13,CID00693
Lavendustin-a,CID00694
L-745870,CID00695
L-741626,CID00696
L-701252,CID00697
L-694247,CID00698
L-693403,CID00699
L-165041,CID00700
Kenpaullone,CID00701
Kb-r7943,CID00702
Jlk-6,CID00703
Jak3-inhibitor-v,CID00704
J-104129,CID00705
Isorotenone,CID00706
Isoreserpine,CID00707
Imperatorin,CID00708
H-9,CID00709
Gavestinel,CID00710
Gabexate,CID00711
Gyki-52466,CID00712
Gw-9662,CID00713
Gw-441756,CID00714
Gw-0742,CID00715
Gtp-14564,CID00716
Gr-79236,CID00717
Gr-55562,CID00718
Gr-159897,CID00719
Gbr-12935,CID00721
Fpl-64176,CID00723
Eriodictyol,CID00724
Eo-1428,CID00725
Emd-66684,CID00726
Desoxycortone,CID00728
Diethyltoluamide,CID00730
Dcebio,CID00731
D-64131,CID00732
Cyclopiazonic-acid,CID00733
Cilostamide,CID00734
Carmoxirole,CID00735
Indolophenanthridine,CID00736
Cp-94253,CID00737
Cgp-53353,CID00738
Cgp-37157,CID00739
Cgp-13501,CID00740
Butabindide,CID00741
Benperidol,CID00742
Bcl2-inhibitor,CID00743
Brl-54443,CID00744
Brl-15572,CID00745
Bp-554,CID00746
Bms-191011,CID00747
Bay-36-7620,CID00748
Talipexole,CID00749
Arvanil,CID00750
Arctigenin,CID00751
Amthamine,CID00753
Aminopurvalanol-a,CID00754
Az-10417808,CID00755
Auraptene,CID00756
Triciribine,CID00757
Am-92016,CID00758
Am-251,CID00759
Ag-490,CID00760
Tyrphostin-ag-825,CID00761
Tyrphostin-ag-18,CID00762
Quinpirol-(-),CID00763
Ikk-16,CID00764
Ryuvidine,CID00765
Cucurbitacin-i,CID00766
Tyrphostin-ag-99,CID00767
Jnj-16259685,CID00768
Er-27319,CID00769
Lylamine,CID00771
Vegf-receptor-2-kinase-inhibitor-iv,CID00772
Tubocurarine,CID00773
Scopolamine-n-oxide,CID00774
Pyrrolidine-dithiocarbamate,CID00775
Pseudoephedrine,CID00776
Beta-ccp,CID00777
Pp-3,CID00778
D-64406,CID00779
Odq,CID00780
Fit,CID00781
Diphenyleneiodonium,CID00782
Diarylpropionitrile,CID00783
Dmab-anabaseine,CID00784
"1,2-dichlorobenzene",CID00786
Caffeic-acid,CID00787
Cdc,CID00788
Arecaidine-propargyl-ester,CID00789
Ntzdpa,CID00790
M-3m3fbs,CID00791
Cyclopamine,CID00792
Zk-164015,CID00793
Zd-7155,CID00794
Zd-2079,CID00795
Ym-298198,CID00796
Y-134,CID00797
Wr-216174,CID00798
Way-213613,CID00799
W-9,CID00800
Vuf-5681,CID00801
Ub-165,CID00802
Thioperamide,CID00803
Talniflumate,CID00804
T-98475,CID00806
Syrosingopine,CID00807
Strophanthidin,CID00808
Ponalrestat,CID00809
Scoulerine,CID00810
Skf-81297,CID00811
Skf-77434,CID00812
Sdz-21009,CID00813
Sch-58261,CID00814
Ecopipam,CID00815
Sb-269970,CID00816
Sb-225002,CID00817
Sb-222200,CID00818
Sb-205607,CID00819
Sant-1,CID00821
Terguride,CID00822
Ro-60-0175,CID00823
Ro-08-2750,CID00824
Ro-04-5595,CID00825
Ryanodine,CID00826
Rs-504393,CID00827
Rs-17053,CID00828
Rg-13022,CID00829
Psb-11,CID00830
Pnu-120596,CID00831
Pinocembrin,CID00832
Phtpp,CID00833
Acetohydroxamic-acid,CID00834
Pd-407824,CID00835
Pd-169316,CID00836
Pd-166793,CID00837
Oxindole-i,CID00838
Olvanil,CID00839
Omdm-2,CID00840
Obaa,CID00841
O-2050,CID00842
Norketamine,CID00843
Naltrindole,CID00844
Naltriben,CID00845
Nafadotride,CID00846
Ntncb,CID00847
Npc-15199,CID00848
Nnc-05-2090,CID00849
Ngb-2904,CID00850
Methyllycaconitine,CID00851
Mrs-1845,CID00852
Mrs-1754,CID00853
Ly-456236,CID00854
Ml-3163,CID00855
Mek1-2-inhibitor,CID00856
Mdm2-inhibitor,CID00857
Lysergol,CID00858
Luzindole,CID00859
Lobelanidine,CID00860
Ly-255283,CID00861
Ly-278584,CID00862
Ly-165163,CID00863
Ly-320135,CID00864
Linoleamide,CID00865
Lfm-a12,CID00866
L-750667,CID00867
L-733060,CID00868
L-732138,CID00869
L-689560,CID00870
L-152804,CID00871
L-368899,CID00872
Kf-38789,CID00873
Jx-401,CID00874
Jnj-10191584,CID00875
Jak3-inhibitor-i,CID00876
Ivachtin,CID00877
Isoxsuprine,CID00878
Isamoltane,CID00881
Irl-2500,CID00882
Ici-89406,CID00883
Ic-261,CID00884
Hispidin,CID00885
Herniarin,CID00886
Hemado,CID00887
Be-2254,CID00888
H-89,CID00889
Gw-9508,CID00890
Gw-583340,CID00891
Gw-311616,CID00892
Gr-89696,CID00893
Gr-32191,CID00894
Gr-144053,CID00895
Gr-127935,CID00896
Gbr-13069,CID00897
Fusaric-acid,CID00898
Fr-139317,CID00899
Estradiol-valerate,CID00900
Ebpc,CID00901
Deltaline,CID00902
Dy-131,CID00903
Dr-2313,CID00904
Diprotin-a,CID00905
Tubaic-acid,CID00906
Dibenzepin,CID00907
Cromakalim,CID00908
Clobenpropit,CID00909
Ciprofibrate,CID00910
Cilnidipine,CID00911
Cdk2-5-inhibitor,CID00912
Cp-93129,CID00914
Cp-55940,CID00915
Cgs-21680,CID00916
Cgp-55845,CID00917
Cgp-52432,CID00918
Carbofuran,CID00919
Brefeldin-a,CID00920
Bis-tyrphostin,CID00921
Bw-b70c,CID00922
Bml-190,CID00923
Biochanin-a,CID00924
Bapta-am,CID00925
Azacyclonol,CID00926
Angiogenesis-inhibitor,CID00927
Aloisine,CID00928
Arachidonamide,CID00929
Aminomethyltransferase,CID00930
Am-404,CID00931
Tyrphostin-ag-1296,CID00932
Tyrphostin-ag-556,CID00933
Tyrphostin-ag-538,CID00934
Ag-494,CID00935
Tyrphostin-ag-494,CID00936
Gestrinone,CID00937
Piperidolate,CID00938
Bretazenil,CID00939
Relcovaptan,CID00940
Mycophenolic-acid,CID00942
Brequinar,CID00943
Xl-147,CID00944
Talazoparib,CID00945
Ataluren,CID00946
Lupanine,CID00947
Melperone,CID00948
Safinamide,CID00949
Mycophenolate-mofetil,CID00950
Alvimopan,CID00951
Emd-1214063,CID00952
Rupatadine,CID00953
Tyrphostin-1,CID00954
Rs-127445,CID00955
Canagliflozin,CID00956
Goserelin-acetate,CID00957
Istaroxime,CID00958
Ranolazine,CID00959
Fenoterol,CID00960
Fpl-55712,CID00961
Ingenol-mebutate,CID00963
Indoximod,CID00964
Taltirelin,CID00965
Rotigotine,CID00966
Telcagepant,CID00967
Cutamesine,CID00968
Levcromakalim,CID00970
Pirenzepine,CID00971
Indacaterol,CID00972
Pyrimethamine,CID00973
Xaliproden,CID00974
Trimetazidine,CID00975
Avl-292,CID00977
Cinaciguat,CID00978
Idalopirdine,CID00979
Fasudil,CID00980
Hc-030031,CID00981
Carbenoxolone,CID00982
Ci-976,CID00983
Baicalin,CID00984
Genz-644282,CID00985
Lomitapide,CID00986
Mesulergine,CID00987
Bepotastine,CID00988
Honokiol,CID00989
3-deazaadenosine,CID00990
Dolastatin-10,CID00992
Olmesartan-medoxomil,CID00993
Regadenoson,CID00994
Betrixaban,CID00995
R(-)-apomorphine,CID00996
Tomelukast,CID00997
Irsogladine,CID00998
Ikk-2-inhibitor-v,CID00999
Etofenamate,CID01000
Cep-37440,CID01002
Mifobate,CID01003
Vt-464,CID01004
Pinaverium,CID01005
Rimcazole,CID01006
Golvatinib,CID01007
Flumatinib,CID01008
Amitifadine,CID01009
Simeprevir,CID01010
Rev-5901,CID01011
Zk-93426,CID01012
Palmitoylethanolamide,CID01013
Avasimibe,CID01014
Naftidrofuryl,CID01015
Saxagliptin,CID01016
Almitrine,CID01017
Cyclosporin-a,CID01018
Zosuquidar,CID01019
Tacalcitol,CID01020
Pevonedistat,CID01021
Urapidil,CID01022
Co-102862,CID01023
Bibx-1382,CID01024
Sb-743921,CID01026
Cgs-20625,CID01027
Pf-04457845,CID01028
Tetrahydrouridine,CID01029
Otilonium,CID01030
Almorexant,CID01031
Ercalcitriol,CID01032
Jnj-26481585,CID01033
Avagacestat,CID01034
Palovarotene,CID01035
Mirodenafil,CID01036
Sb-271046,CID01037
Tramiprosate,CID01038
Triclabendazole,CID01039
Vtp-27999,CID01040
Maxacalcitol,CID01041
Cx-4945,CID01042
Tak-285,CID01043
Nemonapride,CID01044
Dilazep,CID01045
Teneligliptin,CID01046
Cytochalasin-b,CID01047
Amrinone,CID01048
Vicriviroc,CID01049
Y-26763,CID01050
Varenicline,CID01051
Refametinib,CID01053
Pimobendan,CID01054
T-5224,CID01055
Telatinib,CID01056
Fk-888,CID01057
Pimavanserin,CID01058
N6022,CID01059
Taladegib,CID01060
Meclofenamic-acid,CID01061
Fipronil,CID01062
Clomethiazole,CID01063
Laropiprant,CID01064
Talnetant,CID01066
Umeclidinium,CID01067
Dapagliflozin,CID01068
Sb-756050,CID01069
Taselisib,CID01070
Lafutidine,CID01071
Picotamide,CID01072
Mk-3207,CID01073
Pazufloxacin,CID01074
Cordycepin,CID01075
Sdz-nkt-343,CID01076
Nefiracetam,CID01077
Etazolate,CID01078
Torcetrapib,CID01079
Acipimox,CID01080
Jte-907,CID01081
Telotristat,CID01082
Sr-2640,CID01083
Fluticasone-propionate,CID01084
Siguazodan,CID01085
Molsidomine,CID01086
Ursolic-acid,CID01087
Ci-966,CID01088
Sb-705498,CID01089
Ro-4987655,CID01090
Etacrynic-acid,CID01091
Lidoflazine,CID01092
Tipifarnib-p2,CID01093
Lomerizine,CID01094
Basimglurant,CID01095
Arry-334543,CID01096
Diethylcarbamazine,CID01097
Ibutamoren,CID01098
Mdl-73005ef,CID01099
Rho-kinase-inhibitor-iii[rockout],CID01101
Niguldipine,CID01102
Manumycin-a,CID01104
Benzylpenicillin,CID01105
Alx-5407,CID01106
Ripasudil,CID01107
Vinpocetine,CID01108
Ilomastat,CID01110
Erythromycin-ethylsuccinate,CID01111
Sarcosine,CID01112
Lurasidone,CID01113
Diclofensine,CID01114
Linopirdine,CID01115
Propentofylline,CID01116
Vilazodone,CID01117
Dacinostat,CID01119
Guanaben-acetate,CID01120
Mk-2461,CID01121
Voxtalisib,CID01122
Sch-28080,CID01123
Bms-927711,CID01124
Lonafarnib,CID01125
Deoxycholic-acid,CID01126
Triamcinolone-acetonide,CID01127
Fenobam,CID01128
Abt-724,CID01130
Delanzomib,CID01131
Cariprazine,CID01132
Pha-848125,CID01133
Agi-5198,CID01134
Targinine,CID01135
Reparixin,CID01136
Cilengitide,CID01137
Ambroxol,CID01138
Pinacidil,CID01139
Indoprofen,CID01140
Defactinib,CID01141
Y-27152,CID01144
Anandamide,CID01145
Sta-5326,CID01146
Pk-11195,CID01147
Valproic-acid,CID01148
Cgp-12177,CID01149
Vinburnine,CID01150
Lenvatinib,CID01151
Reboxetine,CID01152
Epirizole,CID01154
"3,3'-diindolylmethane",CID01155
Triamcinolone,CID01156
Lofexidine,CID01159
Minaprine,CID01160
Ethinyl-estradiol,CID01161
Dpcpx,CID01162
Indole-3-carbinol,CID01163
Naftopidil,CID01164
Anamorelin,CID01166
Altanserin,CID01167
Biperiden,CID01168
Balaglitazone,CID01169
Oxybuprocaine,CID01170
Pf-04691502,CID01171
Bms-599626,CID01172
Uk-383367,CID01173
Rilpivirine,CID01174
Dronedarone,CID01175
Clemizole,CID01176
Chlorphenamine,CID01177
Agi-6780,CID01178
Bmy-14802,CID01179
Penfluridol,CID01180
Fluocinolone-acetonide,CID01181
Iguratimod,CID01182
Rilmenidine,CID01183
Bemegride,CID01184
Dofequidar,CID01185
Emedastine,CID01186
Alaproclate,CID01187
Berberine,CID01188
Tasquinimod,CID01189
Desoxypeganine,CID01191
Mk-0812,CID01192
Bitopertin,CID01193
Rimonabant,CID01194
Ym-976,CID01195
Pci-24781,CID01196
Tipiracil,CID01197
Taranabant,CID01198
Amg-517,CID01199
L-690330,CID01200
Rociletinib,CID01201
Mbx-2982,CID01202
Pf-04620110,CID01203
Mozavaptan,CID01204
Aliskiren,CID01205
Apafant,CID01206
Gdc-0834,CID01207
Tak-733,CID01208
Kx2-391,CID01209
Lorglumide,CID01210
